OBJECTID,shortest_dist
654,165.81
655,169.83
656,158.23
657,168.27
658,167.82
659,146.63
660,122.18
661,122.17
662,122.12
663,119.29
664,118.64
665,117.18
666,111.22
667,851.58
668,161.17
669,158.42
670,167.55
671,158.89
672,158.22
673,553.51
674,684.13
675,720.75
676,752.07
677,610.38
678,551.73
679,590.88
680,663.69
681,652.17
682,546.43
683,971.82
684,676.47
685,707.15
686,686.96
687,653.35
688,651.53
689,712.36
690,703.42
691,679.49
692,569.76
693,592.72
694,589.46
695,594.66
696,561.67
697,684.38
698,556.68
699,859.62
700,704.25
701,744.76
702,659.41
703,827.82
704,587.78
705,731.1
706,727.34
707,644.63
708,825.63
709,870.52
710,674.19
711,744.75
712,864.19
713,607.96
714,544.76
715,595.78
716,549.16
717,595.78
718,646.5
719,552.66
720,664.6
721,607.97
722,668.66
723,647.3
724,1023.49
725,719.6
726,673.54
727,711.33
728,822.05
729,646.33
730,740.35
731,665.98
732,993.84
733,832.39
734,520.41
735,563.29
736,569.04
737,541.12
738,538.14
739,697.03
740,566.41
741,871.7
742,557.94
743,986.01
744,833.54
745,660.38
746,550.47
747,878.52
748,145.49
749,112.11
750,104.61
751,115.06
752,114.01
753,93.12
754,101.34
755,97.47
756,73.81
757,543.6
758,917.34
759,871.2
760,854.77
761,856.17
762,881.72
763,915.47
764,905.71
765,160.04
766,173.68
767,170.39
768,139.26
769,118.0
770,116.89
771,118.69
772,112.6
773,119.84
774,109.42
775,105.96
776,82.15
777,80.29
778,83.16
779,87.43
780,83.21
781,860.57
782,163.0
783,148.43
784,142.9
785,119.05
786,98.05
787,75.16
788,800.8
789,715.76
790,573.23
791,684.74
792,876.41
793,885.9
794,860.27
795,898.64
796,828.85
797,872.12
798,862.38
799,883.1
800,856.43
801,829.23
802,849.17
803,853.24
804,524.69
805,824.88
806,859.63
807,969.29
808,853.57
809,899.07
810,848.33
811,917.33
812,857.16
813,663.55
814,854.73
815,914.32
816,562.39
817,851.78
818,872.54
819,898.56
820,681.7
821,843.89
822,740.98
823,853.25
824,867.73
825,867.64
826,895.13
827,882.08
828,563.56
829,599.25
830,736.86
831,884.03
832,739.67
833,652.05
834,913.59
835,890.07
836,564.3
837,863.29
838,972.72
839,928.37
840,972.91
841,860.81
842,536.22
843,962.9
844,865.14
845,592.01
846,653.36
847,914.12
848,976.82
849,877.41
850,917.74
851,874.97
852,910.52
853,860.78
854,852.1
855,866.07
856,676.0
857,848.89
858,873.23
859,861.21
860,976.36
861,918.93
862,859.57
863,895.09
864,880.18
865,891.05
866,520.16
867,523.74
868,679.32
869,832.12
870,863.52
871,893.56
872,877.62
873,918.2
874,768.7
875,747.43
876,866.9
877,896.69
878,902.54
879,912.69
880,870.14
881,889.68
882,923.77
883,681.35
884,549.3
885,845.41
886,851.52
887,863.78
888,916.73
889,853.11
890,861.81
891,921.98
892,904.37
893,923.94
894,891.2
895,901.21
896,898.29
897,869.94
898,875.9
899,820.62
900,870.88
901,585.26
902,525.66
903,858.68
904,569.09
905,678.18
906,881.25
907,845.13
908,911.62
909,859.8
910,843.99
911,862.74
912,782.47
913,547.51
914,549.33
915,872.38
916,844.36
917,922.43
918,645.78
919,859.0
920,868.46
921,1054.91
922,681.9
923,662.02
924,557.91
925,859.84
926,767.6
927,1018.93
928,875.34
929,873.08
930,647.33
931,878.74
932,863.26
933,861.65
934,614.58
935,784.73
936,852.35
937,620.21
938,861.1
939,544.85
940,655.9
941,865.07
942,993.12
943,602.08
944,550.74
945,837.68
946,592.2
947,534.24
948,679.51
949,600.49
950,535.72
951,1017.36
952,837.58
953,534.89
954,823.29
955,597.09
956,552.71
957,552.61
958,549.36
959,1033.52
960,879.04
961,665.66
962,895.66
963,848.21
964,633.01
965,593.81
966,863.74
967,815.64
968,556.15
969,886.04
970,681.35
971,601.49
972,604.3
973,783.99
974,527.94
975,667.12
976,662.55
977,543.39
978,598.54
979,538.18
980,501.68
981,560.99
982,1005.86
983,677.63
984,751.97
985,773.13
986,532.72
987,529.26
988,551.23
989,866.01
990,558.4
991,526.82
992,586.27
993,540.56
994,721.07
995,662.87
996,530.27
997,542.44
998,541.24
999,870.75
1000,986.94
1001,1053.18
1002,550.63
1003,116.22
1004,679.49
1005,989.42
1006,117.23
1007,543.29
1008,733.99
1009,530.79
1010,542.48
1011,523.68
1012,913.94
1013,879.29
1014,984.16
1015,768.28
1016,566.71
1017,733.33
1018,684.1
1019,593.77
1020,857.12
1021,586.16
1022,761.51
1023,878.28
1024,850.87
1025,568.47
1026,847.19
1027,910.6
1028,122.31
1029,119.63
1030,117.77
1031,121.72
1032,116.02
1033,113.14
1034,106.79
1035,880.72
1036,864.35
1037,851.77
1038,728.69
1039,928.07
1040,176.03
1041,162.09
1042,164.02
1043,168.69
1044,158.19
1045,150.12
1046,116.67
1047,118.79
1048,123.84
1049,117.82
1050,118.27
1051,99.65
1052,98.86
1053,87.9
1054,90.83
1055,72.62
1056,574.86
1057,818.44
1058,976.51
1059,558.81
1060,719.41
1061,1043.49
1062,813.64
1063,615.12
1064,600.06
1065,568.08
1066,921.21
1067,550.04
1068,824.42
1069,808.11
1070,687.48
1071,831.39
1072,615.57
1073,533.86
1074,607.23
1075,563.99
